HS_NO     NOTE
020443   去骨者
02044300 冷凍去骨綿羊肉
020450   山羊肉
02045000 山羊肉，生鮮、冷藏或冷凍
0205     肉類（馬、騾、驢及駃騠），生鮮、冷藏或冷凍
020500   肉類（馬、騾、驢及駃騠），生鮮、冷藏或冷凍
02050000 肉類（馬、騾、驢及駃騠），生鮮、冷藏或冷凍
0206     食用雜碎（牛、豬、綿羊、山羊、馬、騾、驢或駃騠），生鮮、冷藏或冷凍
020610   牛雜碎，生鮮或冷藏
02061010 牛肉骨，生鮮或冷藏
02061090 其他食用牛雜碎，生鮮或冷藏
02062    －冷凍牛雜碎︰
020621   舌
02062100 冷凍牛舌
020622   肝
02062200 冷凍牛肝
020629   其他
02062910 冷凍牛肉骨
02062990 其他冷凍食用牛雜碎
020630   豬雜碎，生鮮或冷藏
02063010 豬肉骨，生鮮或冷藏
02063020 豬腳（包括前、後腿蹄膀及腱子肉）及橫膈膜，生鮮或冷藏
02063090 其他食用豬雜碎，生鮮或冷藏
02064    －冷凍豬雜碎︰
020641   肝
02064100 冷凍豬肝
020649   其他
02064910 冷凍豬筋
02064920 冷凍豬肉骨
02064930 冷凍豬腳（包括前、後腿蹄膀及腱子肉）及橫膈膜
02064990 其他冷凍食用豬雜碎
020680   其他雜碎，生鮮或冷藏
02068011 羊肉骨，生鮮或冷藏
02068019 其他食用羊雜碎，生鮮或冷藏
02068020 雜碎（馬、驢、騾、駃騠），生鮮或冷藏
020690   冷凍其他雜碎
02069010 冷凍羊肉骨
02069090 其他冷凍羊雜碎
0207     屬第０１０５節之家禽肉及食用雜碎，生鮮、冷藏或冷凍
02071    －飼養之雞︰
020711   未切成塊者，生鮮或冷藏
02071100 雞肉，未切成塊者，生鮮或冷藏
020712   冷凍未切成塊者
02071200 冷凍雞肉，未切成塊者
020713   肉塊及雜碎，生鮮或冷藏
02071311 雞腿（包括棒棒腿及骨腿）及雞翅，生鮮或冷藏
02071319 其他雞肉肉塊，生鮮或冷藏
02071320 雞肝，生鮮或冷藏
02071391 雞心及雞腳，生鮮或冷藏
02071392 雞脖子，生鮮或冷藏
02071399 其他雞雜碎，生鮮或冷藏
020714   冷凍肉塊及雜碎
02071411 冷凍雞腿（包括棒棒腿及骨腿）及雞趐
02071419 其他冷凍雞肉肉塊
02071421 冷凍雞肝
02071422 冷凍雞心及雞腳
02071423 冷凍雞脖子
02071429 其他雞雜碎，冷凍
02072    －火雞︰
020724   未切成塊者，生鮮或冷藏
02072400 火雞肉，未切成塊者，生鮮或冷藏
020725   冷凍未切成塊者
02072500 冷凍火雞肉，未切成塊者
020726   肉塊及雜碎，生鮮或冷藏
02072610 火雞肉肉塊，生鮮或冷藏
02072620 火雞肝，生鮮或冷藏
02072690 其他火雞雜碎，生鮮或冷藏
020727   冷凍肉塊及雜碎
02072710 冷凍火雞肉，肉塊
02072721 冷凍火雞肝
02072722 冷凍火雞心
02072729 其他火雞雜碎，冷凍
02074    ─鴨︰
020741   未切成塊者，生鮮或冷藏
02074100 鴨肉，未切成塊者，生鮮或冷藏
020742   冷凍未切成塊者
02074200 冷凍鴨肉，未切成塊者
020743   脂肝，生鮮或冷藏
02074300 鴨脂肝，生鮮或冷藏
020744   其他，生鮮或冷藏
02074410 鴨肉，肉塊，生鮮或冷藏
02074420 鴨心，生鮮或冷藏
02074490 其他鴨雜碎，生鮮或冷藏
020745   其他，冷凍
02074510 冷凍鴨肉，肉塊
02074520 冷凍鴨肝
02074530 冷凍鴨心
02074590 其他鴨雜碎，冷凍
02075    ─鵝︰
020751   未切成塊者，生鮮或冷藏
02075100 鵝肉，未切成塊者，生鮮或冷藏
020752   冷凍未切成塊者
02075200 冷凍鵝肉，未切成塊者
020753   脂肝，生鮮或冷藏
02075300 鵝脂肝，生鮮或冷藏
020754   其他，生鮮或冷藏
02075410 鵝肉，肉塊，生鮮或冷藏
02075420 鵝心，生鮮或冷藏
02075490 其他鵝雜碎，生鮮或冷藏
020755   其他，冷凍
02075510 冷凍鵝肉，肉塊
02075520 冷凍鵝肝
02075530 冷凍鵝心
02075590 其他鵝雜碎，冷凍
020760   珍珠雞
02076010 珍珠雞肉，未切成塊者，生鮮或冷藏
02076020 珍珠雞肉，肉塊，生鮮或冷藏
02076030 其他珍珠雞雜碎，生鮮或冷藏
02076040 冷凍珍珠雞肉，未切成塊者
02076050 冷凍珍珠雞肉，肉塊
02076060 冷凍珍珠雞肝
02076090 其他珍珠雞雜碎，冷凍
0208     其他肉類及食用雜碎，生鮮、冷藏或冷凍
020810   家兔或野兔
02081010 家兔肉或野兔肉，生鮮、冷藏或冷凍
02081020 家兔或野兔之食用雜碎，生鮮、冷藏或冷凍
020830   靈長目
02083010 靈長目之哺乳類動物肉，生鮮、冷藏或冷凍
02083020 靈長目之哺乳類動物之食用雜碎，生鮮、冷藏或冷凍
020840   鯨、海豚及鼠海豚（鯨目之哺乳類動物）；海牛及儒艮（海牛目之哺乳類動物）；海豹、海獅及海象（鰭腳亞目之哺乳類動物）
02084010 鯨肉、海豚肉及鼠海豚肉、海牛肉及儒艮肉，生鮮、冷藏或冷凍
02084020 鯨、海豚及鼠海豚、海牛及儒艮之食用雜碎，生鮮、冷藏或冷凍
02084030 海豹肉、海獅肉及海象肉，生鮮、冷藏或冷凍
02084040 海豹、海獅及海象之食用雜碎，生鮮、冷藏或冷凍
020850   爬蟲類（包括蛇及龜）
02085010 爬蟲類（包括蛇及龜）肉，生鮮、冷藏或冷凍
02085020 爬蟲類（包括蛇及龜）之食用雜碎，生鮮、冷藏或冷凍
020860   駱駝及其他駱駝科動物
02086010 駱駝肉及其他駱駝科動物之肉，生鮮、冷藏或冷凍
02086020 駱駝及其他駱駝科動物之食用雜碎，生鮮、冷藏或冷凍
020890   其他
02089011 鹿肉，生鮮、冷藏或冷凍
02089012 鹿鞭，生鮮、冷藏或冷凍
02089013 鹿腳筋，生鮮、冷藏或冷凍
02089021 蛙腿肉，生鮮、冷藏或冷凍
02089029 其他肉類，生鮮、冷藏或冷凍
02089090 其他食用雜碎（第０２０６節及第０２０７節除外），生鮮、冷藏或冷凍
0209     不帶瘦肉之豬脂肪及禽脂肪，未熬或未以其他方法萃取，生鮮、冷藏、冷凍、鹹、浸鹹、乾或燻製者
020910   豬
02091000 不帶瘦肉之豬脂肪，未熬或未以其他方法萃取，生鮮、冷藏、冷凍、鹹、浸鹹、乾或燻製者
020990   其他
02099000 不帶瘦肉之禽脂肪，未熬或未以其他方法萃取，生鮮、冷藏、冷凍、鹹、浸鹹、乾或燻製者
0210     鹹、浸鹹、乾或燻製之肉類及食用雜碎；肉類或雜碎肉製成之食用肉粉或粗肉粉
02101    －豬肉︰
021011   帶骨之腿肉、肩肉及其切割肉
02101100 帶骨之豬腿肉、肩肉及其切割肉
021012   腹脇肉及其切割肉
02101200 豬腹脇肉及其切割肉
021019   其他
02101900 其他鹹、浸鹹、乾或燻製之豬肉
021020   牛肉
02102000 鹹、浸鹹、乾或燻製之牛肉
02109    －其他，包括肉類或雜碎肉製成之食用肉粉及粗肉粉：
021091   靈長目
02109100 鹹、浸鹹、乾或燻製之靈長目哺乳類動物肉及食用雜碎；及其肉或雜碎肉製成之食用肉粉及粗肉粉
021092   鯨、海豚及鼠海豚（鯨目之哺乳類動物）；海牛及儒艮（海牛目之哺乳類動物）；海豹、海獅及海象（鰭腳亞目之哺乳類動物）
