HS_NO       NOTE
2922492000 美非那米克酸〔Ｎ－（２，３－二甲基苯基）胺基苯甲酸〕
2922493000 待克菲那（二氯非那酸鈉）
2922499020 三乙酸基氨
2922499099 其他胺基酸含氧官能超過一種以上者除外及其酯類；其鹽類
2922501000 對–硝化苯胺基二醇
2922509010 特拉嗎竇（２─〔（二甲基胺基）甲基〕─１─（３─甲氧基苯基）環六醇）及其鹽類
2922509020 對一羥苯基胺基醋酸
2922509030 ２－（３－甲氧基苯基）－２－乙胺環己酮及其異構物（立體異構物或光學異構物）、酯類、醚類及鹽類
2922509090 其他胺醇酚、胺酸酚及其他含氧官能基之胺基化合物
2923101000 氯化膽汁鹼及其鹽類
2923109000 其他膽汁鹼及其鹽類
2923201000 卵磷脂（蛋黃素），不論其是否符合化學定義
2923209000 其他磷胺脂，不論其是否符合化學定義
2923300000 全氟辛烷磺酸四乙基銨
2923400000 全氟辛烷磺酸二癸基二甲基銨
2923900000 其他第四銨鹽類及氫氧化物
2924110000 甲丙氨酯（美普巴邁）
2924120000 氟乙醯胺（ＩＳＯ）、亞素靈（ＩＳＯ）及福賜米松（ＩＳＯ）
2924191000 二甲基甲醯胺
2924199010 丙烯醯胺
2924199020 甲醯胺
2924199030 二甲基胺甲醯氯
2924199090 其他非環醯胺（包括非環胺甲酸酯）及其衍生物；其鹽類
2924210010 對位乙氧基苯脲（甘精）　
2924210090 其他脲毒油及其衍生物；其鹽類
2924230010 ２─乙醯胺基苯甲酸（Ｎ─乙醯─鄰─胺基苯甲酸）
2924230020 ２─乙醯胺基苯甲酸（Ｎ─乙醯─鄰─胺基苯甲酸）鹽類
2924240000 炔己蟻胺（ＩＮＮ）
2924250000 拉草（ＩＳＯ）
2924291000 非納西汀（對乙氧基─乙醯苯胺）
2924299020 離胺右旋安非他命及其異構物（立體異構物或光學異構物）、酯類、醚類及鹽類
2924299099 其他環醯胺（包括環狀胺甲酸酯）及其衍生物；其鹽類
2925110000 糖精（鄰磺醯苯甲醯亞胺）及其鹽類
2925120000 格魯米特（ＩＮＮ）
2925191000 乙基－２－甲基－琥珀醯亞胺
2925192000 雙（四溴基鄰苯二甲醯甲胺）乙烷
2925193000 Ｎ，Ｎ－雙（５，６－雙溴－２，３－雙羧醯胺－二融環﹝２，２，１﹞庚烷)
2925199000 其他醯亞胺及其衍生物；其鹽類
2925210000 克死蟎（ＩＳＯ）
2925290010 鹽酸羥亞胺（１－羥基環戊基－２－氯苯基－Ｎ－甲基亞胺基酮鹽酸）
2925290090 其他亞胺及其衍生物；其鹽類
2926100000 丙烯腈
2926200000 １－氰胍（二氰醯胺）
2926300000 芬普雷斯（ＩＮＮ）及其鹽類；美沙冬（ＩＮＮ）中間體（４－氰基－２－二甲基胺基－４，４－苯丁烷）
2926400000 α－苯基乙醯基乙腈
2926901000 腈基乙酸乙酯
2926909010 乙腈
2926909020 苯乙腈
2926909030 ２－苯基乙醯基乙腈之異構物及鹽類
2926909090 其他腈官能基化合物
2927001000 偶氮二甲醯胺
2927009000 其他重氮、偶氮或氧化偶氮化合物
2928000010 亞拉生長素
2928000020 １，２－二苯基聯胺
2928000030 甲基聯胺
2928000090 其他肼或胲（羥胺）之有機衍生物
2929101010 ２，４－二異氰酸甲苯
2929101090 其他二異氰酸甲苯酯
2929102000 二異氰酸二苯甲烷
2929109010 異氰酸甲酯
2929109090 其他異氰酸鹽或酯
2929900010 α－氰溴甲苯
2929900020 環己胺基磺酸鈉（糖蜜素）
2929900030 Ｎ，Ｎ─二烷基（甲基，乙基，正或異丙基）胺基膦醯二鹵化物
2929900040 Ｎ，Ｎ─二烷基（甲基，乙基，正或異丙基）胺基膦酸二烷基（甲基，乙基，正或異丙基）酯
2929900050 六甲基磷酸三胺
2929900061 Ｎ－亞硝－正－甲脲
2929900062 Ｎ－亞硝二甲胺（二甲亞硝胺）
2929900063 Ｎ－亞硝二乙胺（二乙亞硝胺）
2929900090 其他氮官能基化合物
2930201000 二甲基二硫代胺甲酸鈉
2930209000 硫代胺甲酸鹽（酯）及其他二硫代胺甲酸鹽（酯）
2930301000 四甲基二硫化雙甲硫羰醯胺
2930309000 單、四硫化雙甲硫羰醯胺及其他二硫化雙甲硫羰醯胺
2930401000 消旋－甲硫氨酸
2930409000 其他蛋胺酸
2930600000 ２－（Ｎ，Ｎ－二乙基胺基）乙硫醇
2930700000 雙（２－羥基乙基）硫醚（硫二甘醇（ＩＮＮ））
2930801000 得滅克（ＩＳＯ）
2930802000 四氯丹（ＩＳＯ）及達馬松（ＩＳＯ）
2930901000 辛基乙硫醇
2930902000 Ｄ，Ｌ－蛋胺酸Ｄ，Ｌ－羥基異構物
2930903000 胱胺酸
2930904000 半胱胺酸
2930905100 黃酸鈉乙酯
2930905900 其他二硫代碳酸鹽或酯（黃酸鹽或酯）
2930909011 ２─氯乙基氯甲基硫醚
2930909012 雙（２─氯乙基）硫醚（芥子氣）
2930909013 雙（２─氯乙基硫基）甲烷
2930909014 １，２─雙（２─氯乙基硫基）乙烷（倍半芥子氣）
2930909015 １，３─雙（２─氯乙基硫基）正丙烷
2930909016 １，４─雙（２─氯乙基硫基）正丁烷
2930909017 １，５─雙（２─氯乙基硫基）正戊烷
2930909018 雙（２─氯乙基硫甲基）醚
2930909019 雙（２─氯乙基硫乙基）醚（０─芥子氣）
2930909020 Ｓ─〔２─（二乙基胺基）乙基〕硫膦酸二乙脂及其烷基化或質子化鹽類（阿米通）
2930909030 ２─〔Ｎ，Ｎ─二烷基（甲基，乙基，正或異丙基）胺基〕乙硫醇及其質子化鹽類
2930909050 大福松，乙基硫代硫膦酸乙酯─Ｓ─苯酯
2930909061 蓋普丹
2930909062 福爾培
2930909070 莫待芬寧及其異構物、酯類、醚類及鹽類
2930909071 硫脲
2930909072 胺基硫脲
2930909090 其他有機硫化物
2931100000 四甲基鉛及四乙基鉛
2931201000 氧化三丁基錫
2931209011 醋酸三丁錫
2931209012 溴化三丁錫
2931209013 氯化三丁錫
2931209014 氟化三丁錫
2931209015 氫化三丁錫
2931209016 月桂酸三丁錫
2931209017 順丁烯二酸三丁錫
2931209090 其他三丁基錫化合物
2931310000 甲膦酸二甲酯
2931320000 丙膦酸二甲酯
2931330000 乙膦酸二乙酯
2931340000 ３－（三羥基矽基）丙基甲膦酸酯鈉鹽
2931350000 ２，４，６－三丙基－１，３，５，２，４，６－三氧三磷雜環己烷２，４，６－三氧化物
2931360000 甲膦酸甲基（５－乙基－２－甲基－２－氧代－１，３，２－二氧磷雜環己－５－基）甲酯
2931370000 甲膦酸雙[（５－乙基－２－甲基－２－氧代－１，３，２－二氧磷雜環己－５－基）甲基]酯
2931380000 甲膦酸及甲基（１：１）鹽
2931390010 烷基（甲基，乙基，正或異丙基）氟膦酸烷基（碳數＜＝１０，含環烷）酯，例：甲氟膦酸異丙酯 (沙林) 甲氟膦酸品吶可啉酯 (索曼)
2931390020 Ｎ，Ｎ–二烷基（甲基，乙基，正或異丙基）胺基氰膦酸烷基（碳數＜＝１０，含環烷）酯，例：Ｎ，Ｎ–二甲基胺基氰膦酸乙酯（塔崩）
2931390030 烷基（甲基，乙基，正或異丙基）硫膦酸烷基（氫或碳數＜＝１０，含環烷）酯，Ｓ–２二烷基（甲基，乙基，正或異丙基）胺基乙酯及其烷基化或質子化鹽類，例：Ｓ–２–（Ｎ，Ｎ二異丙基胺基）乙基甲硫膦酸乙酯
2931390040 烷基（甲基，乙基，正或異丙基）膦醯二氟，例：甲膦醯二氟
2931390050 烷基（甲基，乙基，正或異丙基）亞膦酸烷基（氫或碳數＜＝１０，含環烷）酯–２–二烷基（甲基，乙基，正或異丙基）胺基乙酯及其烷基化或質子化鹽類，例：甲基亞膦酸乙酯–２–（Ｎ，Ｎ–二異丙基胺基）乙酯
2931390060 甲氯膦酸異丙酯（氯沙林）
2931390070 甲氯膦酸品吶可啉酯(氯索曼)
2931390080 除ＣＣＣ２９３１．３１．００．００，２９３１．３２．００．００，２９３１．３３．００．００，２９３１．３４．００．００，２９３１．３５．００．００，２９３１．３９．００．１０，２９３１．３９．００．２０，２９３１．３９．００．３０，２９３１．３９．００．４０，２９３１．３９．００．５０，２９３１．３９．００．６０及２９３１．３９．００．７０項下貨品外之含甲基，乙基或丙基之有機磷化合物，但不含碳數更多的化合物，例：甲膦醯二氯
2931390091 福賜松
2931390099 其他有機磷衍生物
2931901100 洒爾佛散
2931901911 ２─氯乙烯基二氯胂
2931901912 雙（２─氯乙烯基）氯胂
2931901913 參（２─氯乙烯基）胂
2931901990 其他有機砷化合物
2931902100 氧化二丁基錫
2931902200 氧化二辛基錫
2931902911 錫蟎丹
2931902912 氫氧化三苯錫
2931902913 三正丙基乙錫
2931902914 三正丙基異丁錫
2931902915 三正丙基正丁錫
2931902916 碘化三正丙錫
2931902917 三苯基芐錫
2931902918 三苯基甲錫
2931902919 三苯基－對－甲苯錫
2931902921 溴化三苯錫
2931902922 氟化三苯錫
2931902923 碘化三苯錫
2931902924 醋酸三苯錫
2931902925 氯化三苯錫
2931902926 三苯基－α－萘錫
2931902927 溴化三丙錫
2931902928 氯化三丙錫
2931902929 氟化三丙錫
2931902931 溴化三甲苯錫
2931902932 氯化三甲苯錫
2931902933 氟化三甲苯錫
2931902934 氫氧化三甲苯錫
2931902935 碘化三甲苯錫
2931902936 參（三苯錫）甲烷
2931902937 溴化三茬錫
2931902938 氯化三茬錫
2931902939 氟化三茬錫
2931902941 碘化三茬錫
2931902990 其他有機錫化合物
2931905100 八甲基（苯基或其他有機基）環四矽氧
2931905900 其他有機矽化合物
2931909010 六羰化鉻
2931909020 四羰化鎳
2931909090 其他無機元素之有機化合物
2932110000 四氫呋喃
2932120000 ２－呋喃醛（呋喃甲醛）
2932131000 呋喃甲醇
2932132000 四氫呋喃甲醇
2932140000 蔗糖素
2932191000 呋喃
2932192000 鹽酸雷尼得定（雷尼替定）
2932199000 其他之結構中含有一未稠合之呋喃環（不論是否氫化）之化合物
2932201010 α－苯並吡喃酮（香豆素、薰草素）
2932201020 甲基薰草素及乙基薰草素
2932209010 β－丙內酯
2932209020 伽瑪－丁內酯
2932209090 其他內酯
2932910000 異黃樟油素
2932920000 １－（１，３－苯並二噁茂－５－基）－２－丙酮
2932930000 胡椒醛（３，４－亞甲基二氧基苯甲醛）
2932940000 黃樟油素
2932950000 四氫大麻酚（包括Tetrahydrocannabinol異構物及其立體化學變體）
2932990010 １，１－雙甲基庚基－１１－羥基－四氫大麻酚（及其異構物、酯類、醚類及鹽類）
2932990020 ３，４－亞甲基雙氧甲基卡西酮及其異構物、酯類、醚類及鹽類
2932990030 二苯駢呋喃
2932990040 １，４－二氧陸圜
2932990050 ３，４－亞甲基雙氧苯基甲胺戊酮及其異構物、酯類、醚類及鹽類
2932990060 ３，４－亞甲基雙氧－Ｎ－乙基卡西酮及其異構物（立體異構物或光學異構物）、酯類、醚類及鹽類
2932990071 ２－甲基胺丙基苯并喃及其異構物、酯類、醚類及鹽類
2932990072 ３，４－亞甲基雙氧苯基甲胺丁酮及其異構物、酯類、醚類及鹽類
2932990073 ３，４－亞甲基雙氧苯基二甲胺丁酮及其異構物、酯類、醚類及鹽類
2932990074 ３，４－亞甲基雙氧苯基乙基胺戊酮及其異構物、酯類、醚類及鹽類
2932990090 其他僅具有氧雜原子之雜環化合物
2933110000 啡那宗（安替比林）及其衍生物
2933190010 ４─丁基─１，２─二苯基─３，５─四氫吡唑二酮（苯丁吡唑酮）
2933190090 其他結構中含有一未稠合吡唑環（不論是否氫化）之化合物
2933210000 乙內醯脲及其衍生物
2933290000 其他之結構中含有一未稠合之咪唑環（不論是否氫化）之化合物
2933311000 吡啶
2933312000 吡啶鹽類
2933320010 六氫吡啶
2933320020 六氫吡啶鹽類
2933330000 阿華吩坦尼（ＩＮＮ）、安尼勒立汀（ＩＮＮ）、培集屈密特（ＩＮＮ）、溴西泮（ＩＮＮ）、狄芬諾新（ＩＮＮ）、狄芬諾西萊（ＩＮＮ）、狄匹潘濃（ＩＮＮ）、吩坦尼（ＩＮＮ）、酚派丙酮（ＩＮＮ）、派醋甲酯（ＩＮＮ）、潘他唑新（ＩＮＮ）、配西汀（ＩＮＮ）、配西汀（ＩＮＮ）中間體、苯環利定（ＩＮＮ）（ＰＣＰ）、吩諾配立汀（ＩＮＮ）、派苯甲醇（ＩＮＮ）、匹立屈密特（ＩＮＮ）、普魯匹蘭（ＩＮＮ）及屈美配立汀（ＩＮＮ）；其鹽類
2933391000 ２－乙烯吡啶
2933392000 尼卡密特
2933393000 鹽酸克樂定
2933399010 ３─氰基吡啶
2933399030 瑞吩坦尼及其異構物、酯類、醚類及鹽類
2933399090 其他結構中含有一未稠合之吡啶環（不論是否氫化）之化合物
2933410000 左旋嗎汎（ＩＮＮ）及其鹽類
2933490010 美妥芬諾及其異構物、酯類、醚類及鹽類
2933490090 其他結構式中含有喹啉或異喹啉環（不論是否氫化）之化合物，未經進一步稠合者
2933520000 丙二醯縮脲（巴比妥酸）及其鹽類
2933530000 二丙烯基巴比妥（ＩＮＮ）、異戊巴比妥（ＩＮＮ）、巴比妥（ＩＮＮ）、布他比妥（ＩＮＮ）、丁巴比妥、環巴比妥（ＩＮＮ）、甲基苯巴比妥（ＩＮＮ）、戊巴比妥（ＩＮＮ）、苯巴比妥（ＩＮＮ）、仲丁比妥（丁巴比妥）（ＩＮＮ）、西可巴比妥（ＩＮＮ）及乙烯比妥（ＩＮＮ）；其鹽類
2933540000 其他丙二醯縮脲（巴比妥酸）之衍生物；其鹽類
2933550000 氯普唑他（ＩＮＮ）、甲氯喹酮（ＩＮＮ）、甲喹酮（ＩＮＮ）及洁比普洛（ＩＮＮ）；其鹽類
2933591000 嘌呤
2933599020 札來普隆
2933599030 硫美妥（包括異構物、酯類、醚類及鹽類）
2933599040 三氟甲苯哌嗪及其異構物、酯類、醚類及鹽類
2933599050 苄基哌嗪及其異構物、酯類、醚類及鹽類
2933599090 其他之結構中含嘧啶環（不論是否氫化）或六氫吡𠯤環之化合物
2933610000 三聚氰胺
2933691000 三聚二異氰酸六甲酯
2933699010 三聚氰氯
2933699020 氰乃淨
2933699090 其他含有一未經稠合之三氮𠯤環（不論是否氫化）之化合物
2933710000 ６－己內醯胺（己內醯胺）
2933720000 氯巴占（ＩＮＮ）及甲乙𠸁啶酮（ＩＮＮ）
2933790010 乙醯－思登那菲
2933790020 唑匹可隆及其異構物、酯類、醚類及鹽類
2933790090 其他內醯胺
2933910000 阿普唑他（三氮二氮平）（ＩＮＮ）、卡嗎西泮（卡氮平）（ＩＮＮ）、氯氮䓬（氯二氮平）（ＩＮＮ）、氯硝西泮（氯硝氮平）（ＩＮＮ）、氯拉䓬酸（氯氮平酸鹽）（ＩＮＮ）、地洛西泮（地洛氮平）（ＩＮＮ）、安定（二氮平）（ＩＮＮ）、舒樂安定（伊疊唑侖）（ＩＮＮ）、氯氟䓬己酯（氟氮平酸酯）（ＩＮＮ）、氟地西泮（氟二氮平）（ＩＮＮ）、氟硝西泮（ＩＮＮ）、氟安定（氟路洛）（ＩＮＮ）、哈拉西泮（三氟氮平）（ＩＮＮ）、勞拉西泮（樂耐平）（ＩＮＮ）、氯甲西泮（甲基樂耐平）（ＩＮＮ）、嗎吲哚（咪唑吲哚）（ＩＮＮ）、美達西泮（美達氮平）（ＩＮＮ）、咪達唑他（咪氟唑侖）（ＩＮＮ）硝甲西泮（硝甲氮平）（ＩＮＮ）、硝西泮（耐妥眠）（ＩＮＮ）、去甲西泮（去甲氮平）（ＩＮＮ）、去甲羥安定（去甲羥氮平）（ＩＮＮ）、匹那西泮（丙炔氮平）（ＩＮＮ）、普拉西泮（環丙氮平）（ＩＮＮ）、焦二異丁基酮（焦洛戊酮）（ＩＮＮ）、替馬西泮（甲羥氮平）（ＩＮＮ）、四氫西泮（四氫二氮平）（ＩＮＮ）及三唑他（三唑侖）（ＩＮＮ）；其鹽類
2933920000 谷速松（ＩＳＯ）
2933991000 吲哚
2933992000 氟美喹啉
2933999010 六次甲基四胺（歐洛托品）
2933999030 二苯乙醇酸－３－奎寧環基酯
2933999040 ３－羥基奎寧環
2933999050 佐沛眠
2933999061 ５－甲氧基－Ｎ，Ｎ－二異丙基色胺（包括異構物、酯類、醚類及鹽類）
2933999062 ５－甲氧基－Ｎ－甲基－Ｎ－異丙基色胺及其異構物、酯類、醚類及鹽類
2933999071 １－戊基－３－（１－萘甲醯）吲哚（及其異構物、酯類、醚類及鹽類）
2933999072 １－丁基－３－（１－萘甲醯）吲哚（及其異構物、酯類、醚類及鹽類）
2933999073 ２－（２－甲氧基苯基）－１－（１－戊基－吲哚－３－基）乙酮（及其異構物、酯類、醚類及鹽類）
2933999074 １－戊基－３－（４－甲基－１－萘甲醯）吲哚及其異構物、酯類、醚類及鹽類
2933999075 １－（５－氟戊基）－３－（１－萘甲醯）吲哚及其異構物、酯類、醚類及鹽類
2933999076 １－（５－氟戊基）－３－（１－四甲基環丙基甲醯）吲哚及其異構物、酯類、醚類及鹽類
2933999082 芬納西泮及其異構物、酯類、醚類及鹽類
2933999083 阿普唑他（三氮二氮平）（ＩＮＮ）、卡嗎西泮（卡氮平）（ＩＮＮ）、氯氮䓬（氯二氮平）（ＩＮＮ）、氯硝西泮（氯硝氮平）（ＩＮＮ）、氯拉䓬酸（氯氮平酸鹽）（ＩＮＮ）、地洛西泮（地洛氮平）（ＩＮＮ）、安定（二氮平）（ＩＮＮ）、舒樂安定（伊疊唑侖）（ＩＮＮ）、氯氟䓬己酯（氟氮平酸酯）（ＩＮＮ）、氟地西泮（氟二氮平）（ＩＮＮ）、氟硝西泮（ＩＮＮ）、氟安定（氟路洛）（ＩＮＮ）、哈拉西泮（三氟氮平）（ＩＮＮ）、勞拉西泮（樂耐平）（ＩＮＮ）、氯甲西泮（甲基樂耐平）（ＩＮＮ）、嗎吲哚（咪唑吲哚）（ＩＮＮ）、美達西泮（美達氮平）（ＩＮＮ）、咪達唑他（咪氟唑侖）（ＩＮＮ）硝甲西泮（硝甲氮平）（ＩＮＮ）、硝西泮（耐妥眠）（ＩＮＮ）、去甲西泮（去甲氮平）（ＩＮＮ）、去甲羥安定（去甲羥氮平）（ＩＮＮ）、匹那西泮（丙炔氮平）（ＩＮＮ）、普拉西泮（環丙氮平）（ＩＮＮ）、焦二異丁基酮（焦洛戊酮）（ＩＮＮ）、替馬西泮（羥二氮平、甲羥氮平）（ＩＮＮ）、四氫西泮（四氫二氮平）（ＩＮＮ）及三唑他（三唑侖）（ＩＮＮ）之異構物、酯類及醚類
2933999091 次乙亞胺
2933999092 丙烯亞胺
2933999093 Ｎ－（１－氨基－３－甲基－１－羰基丁烷－２－基）－１－（環己基甲基）－１Ｈ－吲唑－３－羧醯胺及其異構物（立體異構物或光學異構物）、酯類、醚類及鹽類
2933999094 Ｎ－（１－（５－氟戊基）－１Ｈ－吲唑－３－基）羰基纈胺酸甲酯及其異構物、酯類、醚類及鹽類
2933999095 甲基－α－吡咯啶苯己酮及其異構物、酯類、醚類及鹽類
2933999099 其他僅具有氮雜原子之雜環化合物
2934100000 結構中含有一未稠合噻唑環（不論是否氫化）之化合物
2934201000 ２－硫醇苯駢噻唑及其鈉鹽
2934202000 二硫化二苯駢噻唑
2934203000 Ｎ－第三丁基－２－苯駢噻唑硫醯胺
2934204000 Ｎ－環己基－２－苯駢噻唑硫醯胺
2934209000 其他結構式中含苯駢噻唑環（不論是否氫化）之化合物，未經進一步稠合者
2934300000 結構式中含二苯噻𠯤環（不論是否氫化）之化合物，未經進一步稠合者
2934911000 噁唑他（㗁甲唑侖、歐拉）（ＩＮＮ）
2934919000 阿米雷斯（ＩＮＮ）、伯替唑他（ＩＮＮ）、氯噻西泮（氯噻氮平）（ＩＮＮ）、氯噁唑他（氯㗁唑侖）（ＩＮＮ）、右旋嗎拉密特（ＩＮＮ）、鹵噁唑他（鹵㗁唑侖）（ＩＮＮ）、凱他唑他（酮㗁唑侖）（ＩＮＮ）、美舒卡（ＩＮＮ）、匹嗎啉（苯㗁唑啉）（ＩＮＮ）、苯雙甲嗎啉（二苯甲嗎啉）（ＩＮＮ）、苯甲嗎啉（ＩＮＮ）及蘇芬坦尼（ＩＮＮ）；其鹽類
2934991000 核酸鹽類
2934992000 硫辛酸胺
2934993000 二甲基硫恩
2934994000 氯美查諾
2934995000 匹洛卡粉
2934996000 氯若沙宗、氯苯噁唑酮、苯噁唑林
2934997000 ７－胺基去乙醯基頭孢子菌素酸
2934998000 ７－苯乙醯胺基去乙醯基頭孢子菌素酸
2934999020 ７－胺基頭孢菌素酸
2934999030 他達那非
2934999040 氨基－他達那非
2934999050 １，３－丙烷礦內酯
2934999060 阿米雷斯（ＩＮＮ）、伯替唑他（ＩＮＮ）、氯噻西泮（氯噻氮平）（ＩＮＮ）、氯噁唑他（氯㗁唑侖）（ＩＮＮ）、右旋嗎拉密特（ＩＮＮ）、鹵噁唑他（鹵㗁唑侖）（ＩＮＮ）、凱他唑他（酮㗁唑侖）（ＩＮＮ）、美舒卡（ＩＮＮ）、匹嗎啉（苯㗁唑啉）（ＩＮＮ）、苯雙甲嗎啉（二苯甲嗎啉）（ＩＮＮ）、苯甲嗎啉（ＩＮＮ）及蘇芬坦尼（ＩＮＮ）之異構物、酯類及醚類
2934999070 ３，４－亞甲基雙氧焦二異丁基酮（３，４－亞甲基雙氧焦洛戊酮）及其異構物、酯類、醚類及鹽類
2934999090 其他雜環化合物
2935100000 Ｎ－甲基全氟辛烷磺醯胺
2935200000 Ｎ－乙基全氟辛烷磺醯胺
2935300000 Ｎ－乙基－Ｎ－(２－羥乙基)全氟辛烷磺醯胺
2935400000 Ｎ－(２－羥乙基)－Ｎ－甲基全氟辛烷磺醯胺
2935500000 其他其他全氟辛烷磺醯胺類
2935900010 思登那菲
2935900020 異甲硫－思登那菲
2935900030 羥基硫代－蒙莫思登那菲
2935900040 硫代－思登那菲
2935900050 羥基－蒙莫思登那菲
2935900060 伐地那非
2935900070 哌啶－伐地那非
2935900090 其他磺醯胺類
2936210000 維生素Ａ及其衍生物
2936220000 維生素Ｂ１及其衍生物
2936230000 維生素Ｂ２及其衍生物
2936240000 Ｄ─或ｄ１─泛酸（維生素Ｂ３或維生素Ｂ５）及其衍生物
2936250000 維生素Ｂ６及其衍生物
2936260000 維生素Ｂ１２及其衍生物
2936270000 維生素Ｃ及其衍生物
2936280000 維生素Ｅ及其衍生物
2936291000 維生素Ｄ及其衍生物
2936292000 維生素Ｈ及其衍生物
2936293000 維生素Ｋ及其衍生物
2936294000 菸鹼酸
2936295000 菸鹼醯胺
2936299000 其他未混合維生素及其衍生物
2936901000 維生素Ａ＋維生素Ｄ
2936902000 未混合之維生素原
2936909000 其他天然或以合成方法再製之維生素原及維生素（包括天然濃縮體）、其主要用作維生素之衍生物之互混物，不論加入溶劑與否
2937110000 生長激素、其衍生物及結構式類似物
2937120000 胰島素及其鹽類
2937190000 其他多胜肽荷爾蒙、蛋白質荷爾蒙及醣蛋白荷爾蒙，其衍生物及結構式類似物
2937211000 可體松，皮質醇，迪皮質醇
2937212000 氫化可體松
2937220000 腎上腺皮質類固醇荷爾蒙之鹵化衍生物
2937230000 雌性激素及黃體素
2937291000 培尼皮質醇
2937299000 其他類固醇荷爾蒙，其衍生物及結構式類似物
2937500000 前列腺素、前列凝素、白三烯素，其衍生物及結構式類似物
2937900010 美服培酮及其衍生物；其鹽類
2937900011 腎上腺素
2937900019 其他兒茶酚胺荷爾蒙，其衍生物及結構式類似物
2937900020 胺基酸衍生物
2937900090 其他天然或以合成方法再製之荷爾蒙；及其主要用作荷爾蒙之衍生物及結構式類似物
2938100000 芸香苷（蘆亭）及其衍生物
2938900000 其他天然或以合成方法再製之苷及其鹽類、醚類、酯類及其他衍生物
2939110000 嬰粟草濃縮物；丁基原啡因（ＩＮＮ）、可待因、二氫可待因（ＩＮＮ）、乙基嗎啡、愛托啡因（ＩＮＮ）、海洛因、二氫可待因酮（ＩＮＮ）、二氫嗎啡酮（ＩＮＮ）、嗎啡、菸鹼醯嗎啡（ＩＮＮ）、羥基可待因酮（ＩＮＮ）、羥二氫嗎啡酮（ＩＮＮ）、福可汀（ＩＮＮ）、蒂巴康（ＩＮＮ）及蒂巴因；及其鹽類
2939191010 東罌粟󺰟
2939191020 去甲羥嗎啡酮
2939191090 其他鴉片鹼（原料藥）
2939192010 東罌粟󺰟之異構物、酯類、醚類及鹽類
2939192020 去甲羥嗎啡酮之異構物、酯類、醚類及鹽類
2939192030 罌粟草膏；丁基原啡因（ＩＮＮ）、可待因、二氫可待因（ＩＮＮ）、乙基嗎啡、愛托啡因（ＩＮＮ）、海洛因、二氫可待因酮（ＩＮＮ）、二氫嗎啡酮（ＩＮＮ）、嗎啡、菸鹼醯嗎啡（ＩＮＮ）、羥基可待因酮（ＩＮＮ）、羥二氫嗎啡酮（ＩＮＮ）、福可定（ＩＮＮ）、蒂巴康（ＩＮＮ）及蒂巴因之異構物、酯類及醚類
2939192090 其他鴉片鹼之衍生物；及其鹽類
2939200000 金雞納鹼及其衍生物；其鹽類
2939301000 咖啡鹼無水物
2939302000 咖啡鹼
2939309000 其他咖啡鹼及其鹽類
2939410000 麻黃鹼及其鹽類
2939420000 假麻黃鹼及其鹽類
2939430000 去甲假麻黃鹼（ＩＮＮ）及其鹽類
2939440000 新麻黃鹼（去甲麻黃鹼）及其鹽類
2939499000 其他麻黃鹼類及其鹽類
2939499011 甲基麻黃󺰟及其異構物、酯類、醚類及鹽類
2939510000 芬乃他林（ＩＮＮ）及其鹽類
2939591000 茶鹼甘氨基酸鈉
2939592000 泰菲林
2939593000 茶鹼
2939599000 其他茶鹼及胺非林（乙二胺茶鹼）及其衍生物；其鹽類
2939610000 麥角新鹼及其鹽類
2939620000 麥角胺及其鹽類
2939630000 麥角酸及其鹽類
2939690000 其他麥角鹼類及其衍生物；其鹽類
2939710010 氟甲基安非他命及其異構物、酯類、醚類及鹽類
2939710090 其他古柯鹼、愛哥寧、左旋甲基安非他命、甲基安非他命（ＩＮＮ）、外消旋甲基安非他命；其鹽類、酯類及衍生物
2939790011 大麻類（原料藥）
2939790012 古柯鹼（原料藥）
2939790013 其他麻醉藥品類（原料藥）
2939790020 單寧酸黃連鹼
2939790031 ４－甲基乙基卡西酮及其異構物、酯類、醚類及鹽類
2939790032 氟甲基卡西酮及其異構物、酯類、醚類及鹽類
2939790033 甲氧基甲基卡西酮及其異構物、酯類、醚類及鹽類
2939790034 氯甲基卡西酮及其異構物（立體異構物或光學異構物）、酯類、醚類及鹽類
2939790035 溴甲基卡西酮及其異構物（立體異構物或光學異構物）、酯類、醚類及鹽類
2939790041 １－苯基－２－（１－吡咯烷基）－１－戊酮及其異構物、酯類、醚類及鹽類
2939790042 甲苯基乙基胺戊酮及其異構物、酯類、醚類及鹽類
2939790043 甲苯基甲胺戊酮及其異構物、酯類、醚類及鹽類
2939790044 氯乙基卡西酮及其異構物、酯類、醚類及鹽類
2939790090 天然或以合成方法再製之其他植物鹼及其鹽類、醚類、酯類、及其他衍生物
2939800000 天然或以合成方法再製之其他生物鹼及其鹽類、醚類、酯類、及其他衍生物
2940000000 化學級糖類（蔗糖、乳糖、麥芽糖、葡萄糖及果糖除外）；糖醚、糖縮醛及糖酯及其鹽類（第２９３７，２９３８或２９３９節之產品除外）
2941101010 人用盤尼西林亞碸
2941101020 動物用盤尼西林亞碸
2941102010 人用安莫西林三水合物
2941102020 動物用安莫西林三水合物
2941103010 人用安比西林三水合物
2941103020 動物用安比西林三水合物
2941104010 人用卞基青黴素普羅卡因口服級
2941104020 動物用卞基青黴素普羅卡因口服級
2941109010 人用青黴素及具有青黴素酸結構之衍生物；其鹽類
2941109020 動物用青黴素及具有青黴素酸結構之衍生物；其鹽類
